id,ürün,tahmin fiyat,ürün fiyatı,1_fiyat,2_fiyat,3_fiyat
16552,Şehriye,30.59785,30.71,29.56,28.73,27.61
16553,Tarhana,13.2280855,13.34,12.65,12.01,11.32
16554,Yulaf unu,55.90762,55.73,53.8,51.26,49.02
16555,yumurta,28.593021,28.57,27.41,26.11,24.66
16556,beyaz peynir,53.134087,52.9,51.44,47.98,46.05
16557,Kaşar peyniri,67.3437,66.78,64.15,59.73,56.44
16558,krema,36.33082,36.1,34.53,32.54,30.99
16559,yoğurt,44.58244,44.74,43.52,41.81,39.73
16560,sucuk,60.89889,60.89,58.49,54.7,52.58
16561,salam,43.35796,43.16,42.03,39.65,38.12
16562,sosis,55.69323,55.44,52.63,48.76,45.67
16563,tam buğday ekmek,17.449717,17.35,16.65,15.71,14.93
16564,kaymak,67.69614,67.11,64.7,61.2,57.79
16565,bal,98.854805,104.04,99.57,95.14,90.47
16566,tereyağ,69.90733,70.12,67.73,65.15,62.05
16567,Armut,16.825054,16.76,16.2,15.32,14.27
16568,Çilek,23.385136,23.47,22.53,21.59,20.47
16569,Elma,26.09486,25.92,25.2,24.07,22.9
16570,Erik türleri,31.028103,31.02,29.54,27.92,26.54
16571,İncir,18.501602,18.47,17.67,16.82,15.87
16572,Karadut,19.771484,19.78,18.98,18.18,17.01
16573,Karpuz,24.876707,24.95,23.83,22.61,21.28
16574,Kavun,27.622944,27.53,26.57,24.8,23.42
16575,Kayısı,16.445915,16.35,15.59,14.73,14.27
16576,Kiraz,20.922237,20.93,20.26,19.58,18.85
16577,Limon,11.419588,11.45,11.13,10.73,10.28
16578,Mandalina,12.752673,12.67,12.17,11.41,10.89
16579,Muz,34.61585,34.57,33.24,31.73,29.95
16580,Nar,34.295506,34.35,32.86,31.45,30.08
16581,Portakal,18.15603,18.14,17.49,16.69,15.82
16582,Şeftali,20.416393,20.26,19.5,18.53,17.71
16583,Üzüm,25.054646,25.05,23.63,22.35,21.28
16584,Vişne,16.256172,16.2,15.65,14.8,14.29
16585,fındık,56.16705,55.83,53.16,50.36,48.3
16586,fıstık,55.34738,55.1,53.02,50.61,47.82
16587,kaju,63.8709,63.71,61.26,58.52,55.03
16588,badem,64.73484,64.9,62.04,59.87,56.54
16589,ceviz,81.986244,81.95,78.41,73.44,70.56
16590,kıyma,125.993805,134.6,130.29,126.0,118.71
16591,tavuk,45.846195,45.81,44.16,42.69,40.68
16592,hindi,50.216595,49.84,47.73,44.99,42.18
16593,Bakla-kuru,31.458893,31.32,29.68,28.38,26.76
16594,Bakla-taze,50.248734,50.18,48.22,44.54,41.83
16595,Bamya,21.030254,21.01,19.82,18.67,17.66
16596,Barbunya-kuru,25.016844,25.09,24.32,23.21,21.73
16597,Bezelye-taze,52.052254,52.11,49.95,47.65,45.56
16598,Biber-yeşil,52.475876,52.02,50.5,47.94,45.76
16599,Brüksel laha.,98.64516,103.13,97.23,93.31,90.3
16600,Domates,14.624869,14.64,14.25,13.67,13.04
16601,Enginar,48.845337,48.67,46.29,44.12,42.32
16602,Fasulye-kuru,35.688507,35.52,34.27,32.28,31.06
16603,Fasulye-taze,42.05247,41.82,40.31,39.04,36.97
16604,Havuç,29.464956,29.55,28.35,27.05,25.84
16605,Salatalık,17.908785,17.83,17.22,16.24,15.43
16606,Ispanak,51.11937,50.8,49.09,46.25,44.05
16607,Kabak,36.14826,36.09,34.13,32.67,31.14
16608,Karnabahar,38.232525,38.18,36.49,34.85,33.22
16609,Kereviz-baş,21.993782,22.05,21.22,20.44,19.68
16610,Kırmızı-pancar,24.318958,24.34,23.23,22.02,21.18
16611,Lahana,26.367735,26.28,25.21,24.17,23.03
16612,Mantar,53.937275,53.75,50.83,49.15,46.74
16613,Marul,26.582775,26.44,25.83,24.57,23.26
16614,Mercimek-kuru,20.190716,20.1,19.45,18.44,17.56
16615,Nohut,18.029354,18.05,17.01,16.04,15.46
16616,Pancar,27.598593,27.55,26.41,24.9,23.69
16617,Patates,13.545355,13.63,12.97,12.38,11.79
16618,Patlıcan,30.11463,29.98,28.87,27.26,26.1
16619,Pazı,8.201837,8.22,7.86,7.49,7.14
16620,Pırasa,13.398876,13.38,12.84,12.12,11.57
16621,Semizotu,10.976055,10.93,10.49,9.81,9.39
16622,Buğday ekmeği,3.114882,3.12,2.99,2.88,2.72
16623,Bulgur,6.1960807,6.13,5.9,5.53,5.26
16624,Erişte,13.077094,13.03,12.63,11.96,11.44
16625,Makarna,6.875714,6.9,6.66,6.33,6.04
16626,Mısır,8.14589,8.13,7.79,7.42,7.14
16627,Mısır unu,47.79646,47.6,46.48,44.9,42.52
16628,Nişasta,21.104616,21.16,20.41,19.53,18.33
16629,Pilav,16.09556,16.12,15.4,14.96,14.39
16630,Pirinç unu,29.295433,29.29,28.23,27.21,25.63
16631,Şehriye,27.376112,27.38,25.84,24.32,23.25
16632,Tarhana,14.616483,14.64,14.04,13.25,12.46
16633,Yulaf unu,48.48494,48.18,46.3,43.59,41.89
16634,yumurta,36.032185,35.94,34.93,33.26,31.7
16635,beyaz peynir,64.223976,63.87,61.1,58.02,55.37
16636,Kaşar peyniri,73.95607,72.28,69.91,66.36,62.72
16637,krema,34.01223,33.66,32.62,30.63,29.5
16638,yoğurt,53.517223,53.77,51.69,49.08,46.57
16639,sucuk,57.775303,57.82,55.72,53.21,50.44
16640,salam,51.34422,51.22,49.21,46.68,44.13
16641,sosis,45.885986,45.65,44.99,42.93,41.04
16642,tam buğday ekmek,16.45582,16.48,16.03,15.48,14.63
16643,kaymak,53.08311,52.37,50.49,47.37,45.08
16644,bal,98.3724,97.21,93.41,89.39,83.81
16645,tereyağ,70.70573,70.14,67.81,64.39,61.05
16646,Armut,16.579021,16.5,15.92,15.14,14.63
16647,Çilek,20.388824,20.44,19.44,18.57,17.6
16648,Elma,27.127634,27.09,26.14,24.86,23.51
16649,Erik türleri,27.690722,27.65,26.41,25.29,24.56
16650,İncir,15.301111,15.37,14.61,13.95,13.33
16651,Karadut,22.619797,22.58,21.89,20.59,19.7
16652,Karpuz,24.140108,24.11,23.2,21.81,20.9
16653,Kavun,30.218302,30.04,28.83,27.51,26.0
16654,Kayısı,17.799957,17.9,16.85,15.92,15.31
16655,Kiraz,19.813578,19.72,19.15,18.1,17.12
16656,Limon,13.175024,13.13,12.62,11.83,11.32
16657,Mandalina,12.910576,12.85,12.4,11.77,11.38
16658,Muz,36.762825,36.75,35.44,33.57,32.17
16659,Nar,37.163292,37.09,35.83,34.09,32.4
16660,Portakal,14.748136,14.71,14.14,13.29,12.65
16661,Şeftali,22.723202,22.72,21.59,20.41,19.26
16662,Üzüm,20.430012,20.4,19.39,18.54,17.83
16663,Vişne,17.370958,17.42,16.5,15.55,14.78
16664,fındık,58.09365,58.25,56.16,53.67,49.78
16665,fıstık,60.134483,59.41,57.36,53.52,51.75
16666,kaju,58.181046,58.36,56.16,53.39,51.16
16667,badem,55.373886,55.62,53.72,51.26,48.61
16668,ceviz,74.4369,74.16,71.44,69.24,66.54
16669,kıyma,147.27919,144.74,138.6,129.29,123.09
16670,tavuk,42.116787,42.21,40.67,38.67,36.99
16671,hindi,49.48075,49.6,46.93,45.18,42.43
16672,Bakla-kuru,27.460096,27.53,26.13,24.78,23.49
16673,Bakla-taze,52.786953,52.72,51.02,48.28,46.69
16674,Bamya,20.285109,20.33,19.33,18.22,17.32
16675,Barbunya-kuru,24.965212,24.83,24.23,22.91,21.58
16676,Bezelye-taze,47.123104,47.2,45.74,43.45,40.85
16677,Biber-yeşil,55.589382,54.79,52.47,49.58,47.15
16678,Brüksel laha.,105.048355,110.29,105.3,100.16,95.16
16679,Domates,15.213651,15.26,14.58,14.15,13.49
16680,Enginar,47.101257,47.0,45.17,42.99,40.6
16681,Fasulye-kuru,35.72282,35.63,34.3,32.46,30.7
16682,Fasulye-taze,43.74534,43.43,41.07,38.5,36.8
16683,Havuç,32.604336,32.61,31.51,30.01,28.6
16684,Salatalık,20.538776,20.58,19.36,18.49,17.38
16685,Ispanak,55.154026,55.11,52.87,50.08,47.38
16686,Kabak,34.937992,34.65,33.07,31.03,29.69
16687,Karnabahar,39.31219,39.06,38.3,36.36,33.89
16688,Kereviz-baş,24.726297,24.65,23.68,22.46,21.84
16689,Kırmızı-pancar,25.02821,25.01,24.0,22.69,21.4
16690,Lahana,27.401918,27.33,26.48,25.13,24.04
16691,Mantar,53.931534,54.36,52.06,49.64,47.63
16692,Marul,28.434612,28.31,27.21,25.8,24.74
16693,Mercimek-kuru,19.764212,19.76,18.8,17.81,17.11
16694,Nohut,17.32548,17.35,16.62,15.9,15.28
16695,Pancar,26.39053,26.53,25.43,23.99,22.39
16696,Patates,12.522821,12.51,11.99,11.2,10.48
16697,Patlıcan,36.71534,36.28,35.14,33.19,31.55
16698,Pazı,7.8353777,7.86,7.48,7.13,6.73
16699,Pırasa,13.384544,13.37,12.82,12.23,11.37
16700,Semizotu,10.548941,10.55,10.17,9.52,9.05
16701,Buğday ekmeği,3.1103122,3.09,2.98,2.81,2.69
16702,Bulgur,5.780281,5.77,5.57,5.26,5.03
16703,Erişte,13.999227,13.96,13.45,12.95,12.43
16704,Makarna,6.924981,6.9,6.61,6.23,5.93
16705,Mısır,8.187386,8.15,7.84,7.48,7.04
16706,Mısır unu,50.66652,50.82,50.02,48.33,45.42
16707,Nişasta,21.004135,20.87,20.09,18.89,18.03
16708,Pilav,19.609821,19.56,18.85,17.8,17.12
16709,Pirinç unu,31.40336,31.47,29.89,28.09,26.78
16710,Şehriye,27.748554,27.9,27.16,25.96,24.38
16711,Tarhana,12.557185,12.62,12.06,11.29,10.76
16712,Yulaf unu,44.86462,44.6,42.93,40.76,38.88
16713,yumurta,31.678164,31.52,30.4,29.25,27.34
16714,beyaz peynir,68.8674,68.87,66.17,63.01,60.01
16715,Kaşar peyniri,77.82853,78.35,74.27,70.12,65.64
16716,krema,36.17742,36.05,34.84,33.28,31.7
16717,yoğurt,53.660137,54.06,51.71,48.91,46.7
16718,sucuk,74.552124,74.96,71.32,68.08,63.79
16719,salam,48.88818,48.78,47.58,45.32,41.73
16720,sosis,50.142216,49.35,47.32,44.45,42.11
16721,tam buğday ekmek,16.68548,16.62,16.08,15.23,14.51
16722,kaymak,71.07388,69.43,67.2,63.21,60.2
16723,bal,102.928444,100.57,96.05,89.56,85.83
16724,tereyağ,68.03685,68.04,63.95,60.87,58.51
16725,Armut,16.73485,16.64,15.96,14.99,14.48
16726,Çilek,22.750183,22.68,21.94,21.13,20.08
16727,Elma,26.007042,26.16,24.89,23.77,22.57
16728,Erik türleri,28.244423,28.31,26.84,25.45,24.42
16729,İncir,16.144907,16.09,15.5,14.69,13.82
16730,Karadut,25.63934,25.62,24.82,23.46,22.47
16731,Karpuz,26.715971,26.74,25.67,24.12,22.88
16732,Kavun,29.049574,29.06,27.46,26.12,24.69
16733,Kayısı,18.680017,18.6,17.77,16.75,15.94
16734,Kiraz,17.71558,17.74,16.97,16.15,15.55
16735,Limon,13.511453,13.51,12.94,12.15,11.52
16736,Mandalina,12.107777,12.08,11.59,10.9,10.28
16737,Muz,31.988182,32.03,30.61,29.42,27.71
16738,Nar,30.592308,30.53,28.88,27.01,25.97
16739,Portakal,18.671717,18.61,17.91,17.06,16.28
16740,Şeftali,22.957903,22.86,22.17,20.88,19.52
16741,Üzüm,19.944065,19.9,19.1,18.15,17.0
16742,Vişne,16.32856,16.26,15.79,14.89,14.24
16743,fındık,53.44287,53.24,51.53,49.14,47.34
16744,fıstık,69.726776,70.06,66.43,61.43,58.62
16745,kaju,64.470436,64.17,62.12,59.94,57.61
16746,badem,61.624245,61.08,58.43,55.19,52.96
16747,ceviz,85.85583,82.88,78.16,75.17,71.63
16748,kıyma,154.30666,142.56,137.54,129.1,120.39
16749,tavuk,43.127876,43.24,41.5,39.83,37.93
16750,hindi,54.782753,55.2,53.44,50.49,48.79
16751,Bakla-kuru,30.312426,30.02,28.88,26.71,25.3
16752,Bakla-taze,55.412914,54.9,52.97,51.12,48.71
16753,Bamya,21.64626,21.71,21.03,20.24,19.36
16754,Barbunya-kuru,26.511198,26.67,25.44,24.68,23.22
16755,Bezelye-taze,46.861385,46.47,43.85,41.09,39.21
16756,Biber-yeşil,52.517246,52.62,49.72,47.1,45.44
16757,Brüksel laha.,94.16259,94.24,89.78,84.17,80.69
16758,Domates,16.676497,16.69,16.01,15.3,14.62
16759,Enginar,44.132774,44.4,42.68,40.26,38.15
16760,Fasulye-kuru,37.108097,37.03,35.43,33.32,31.68
16761,Fasulye-taze,34.814323,34.88,33.47,32.08,31.07
16762,Havuç,32.125965,32.19,30.71,29.06,27.69
16763,Salatalık,16.02397,15.9,15.5,14.65,13.79
16764,Ispanak,55.449417,55.3,52.73,50.53,47.35
16765,Kabak,31.005795,30.82,29.99,28.64,27.75
16766,Karnabahar,36.952686,36.76,35.87,33.99,31.82
16767,Kereviz-baş,23.492445,23.5,22.47,21.43,20.46
16768,Kırmızı-pancar,28.294281,28.24,26.69,25.3,24.03
16769,Lahana,35.352943,35.33,34.23,32.79,30.98
16770,Mantar,59.41671,59.15,56.27,53.25,50.14
16771,Marul,25.943127,25.91,24.76,23.0,22.01
16772,Mercimek-kuru,21.633966,21.72,20.59,19.58,18.53
16773,Nohut,20.5236,20.46,19.59,18.46,17.39
16774,Pancar,31.447744,31.22,30.12,28.1,26.29
16775,Patates,12.309718,12.29,11.83,11.21,10.75
16776,Patlıcan,34.00618,33.99,32.1,30.87,29.21
16777,Pazı,8.444803,8.44,8.15,7.71,7.48
16778,Pırasa,12.546794,12.53,12.0,11.42,10.87
16779,Semizotu,10.023644,10.03,9.63,9.04,8.61
16780,Buğday ekmeği,3.1568587,3.25,3.13,2.93,2.79
16781,Bulgur,6.2041144,6.22,5.98,5.67,5.5
16782,Erişte,13.88288,13.76,13.35,12.65,12.19
16783,Makarna,5.430153,5.45,5.24,5.03,4.87
16784,Mısır,8.632607,8.65,8.28,7.92,7.63
16785,Mısır unu,51.13089,50.89,48.94,46.75,44.4
16786,Nişasta,21.400438,21.46,20.23,19.09,18.16
16787,Pilav,17.302546,17.2,16.64,15.82,15.07
16788,Pirinç unu,32.25487,32.22,31.48,30.35,28.63
16789,Şehriye,27.273317,27.25,25.85,24.74,23.8
16790,Tarhana,15.379845,15.18,14.74,13.87,13.14
16791,Yulaf unu,49.5719,49.88,48.49,46.2,44.33
16792,yumurta,32.425648,32.51,30.5,29.26,27.86
16793,beyaz peynir,77.73231,76.41,73.99,70.41,65.23
16794,Kaşar peyniri,65.513885,65.66,62.28,58.54,56.1
16795,krema,33.28127,33.49,32.03,30.48,28.68
16796,yoğurt,51.28542,51.54,49.75,47.95,46.24
16797,sucuk,58.443245,58.57,56.07,53.65,50.7
16798,salam,49.727787,49.51,47.41,45.6,43.28
16799,sosis,57.658813,57.54,55.12,52.94,50.13
16800,tam buğday ekmek,18.463999,18.49,17.56,16.84,15.84
16801,kaymak,63.90389,63.48,61.28,58.62,55.9
16802,bal,98.357315,106.19,102.55,98.7,93.53
16803,tereyağ,74.06245,74.36,71.73,69.81,66.84
16804,Armut,17.734184,17.7,16.92,15.95,15.18
16805,Çilek,20.22969,20.1,19.41,18.36,17.61
16806,Elma,24.56388,24.44,23.39,22.36,21.62
16807,Erik türleri,31.084866,31.11,29.38,27.68,26.49
16808,İncir,16.509933,16.54,15.76,15.16,14.31
16809,Karadut,20.579617,20.49,19.56,18.23,17.18
16810,Karpuz,28.631456,28.58,27.55,26.59,25.22
16811,Kavun,31.151447,31.09,29.38,27.75,26.35
16812,Kayısı,16.77309,16.76,16.07,15.36,14.58
16813,Kiraz,23.342161,23.26,22.36,21.43,20.32
16814,Limon,13.146996,13.03,12.6,11.8,11.33
16815,Mandalina,13.3377075,13.4,12.77,12.04,11.35
16816,Muz,35.887497,35.72,34.12,32.06,29.96
16817,Nar,33.208458,33.26,31.8,30.76,29.65
16818,Portakal,18.044449,17.93,17.24,16.23,15.27
16819,Şeftali,18.481524,18.41,17.74,16.56,15.97
16820,Üzüm,20.026518,19.92,19.28,18.05,17.06
16821,Vişne,16.683964,16.63,16.24,15.43,14.35
16822,fındık,55.22085,55.34,53.98,51.5,49.59
16823,fıstık,58.17672,57.96,55.93,53.39,51.17
16824,kaju,67.585175,67.4,65.79,63.77,60.28
16825,badem,66.146126,66.83,63.64,60.21,57.01
16826,ceviz,77.6487,75.89,74.66,70.61,67.51
16827,kıyma,131.84433,144.84,138.81,131.88,124.99
16828,tavuk,46.110493,45.48,43.77,41.21,39.5
16829,hindi,37.4706,37.57,36.16,34.13,32.39
16830,Bakla-kuru,29.191254,29.15,27.87,26.7,25.45
16831,Bakla-taze,64.60003,64.64,62.22,57.69,55.1
16832,Bamya,23.213627,23.2,22.15,21.15,20.11
16833,Barbunya-kuru,22.641468,22.62,21.82,20.78,19.82
16834,Bezelye-taze,49.44137,49.22,47.64,45.59,42.67
16835,Biber-yeşil,50.927246,51.14,48.11,45.1,42.36
16836,Brüksel laha.,109.31269,103.01,98.3,92.76,87.2
16837,Domates,16.174082,16.08,15.77,14.87,14.12
16838,Enginar,47.539135,47.0,44.79,42.47,40.61
16839,Fasulye-kuru,33.68666,33.71,32.27,30.96,29.32
16840,Fasulye-taze,37.294964,37.08,35.67,34.38,32.51
16841,Havuç,35.79244,35.61,34.21,32.36,30.63
16842,Salatalık,18.874783,18.75,18.19,17.28,16.41
16843,Ispanak,51.171627,50.81,49.02,46.36,44.39
16844,Kabak,31.50075,31.51,30.18,28.9,27.32
16845,Karnabahar,38.682274,38.9,36.62,34.83,33.12
16846,Kereviz-baş,22.868637,22.76,22.0,20.98,19.9
16847,Kırmızı-pancar,27.30689,27.25,26.04,24.67,23.32
16848,Lahana,28.75606,28.8,27.74,26.31,25.17
16849,Mantar,51.02178,50.79,49.47,46.45,43.97
16850,Marul,26.107471,26.11,24.71,23.81,23.05
16851,Mercimek-kuru,20.994669,20.96,20.08,19.11,18.11
16852,Nohut,20.676474,20.61,19.72,19.2,18.26
16853,Pancar,23.658663,23.69,22.52,21.34,20.53
16854,Patates,11.747125,11.75,11.24,10.72,10.05
16855,Patlıcan,34.281147,34.28,32.76,31.74,30.5
16856,Pazı,8.489612,8.5,8.25,7.84,7.44
16857,Pırasa,11.192395,11.28,10.68,10.19,9.82
16858,Semizotu,10.776396,10.84,10.36,9.85,9.35
16859,Buğday ekmeği,2.9826908,3.07,2.91,2.75,2.64
16860,Bulgur,5.7143064,5.75,5.42,5.15,4.89
16861,Erişte,13.557122,13.58,12.97,12.37,11.99
16862,Makarna,6.314646,6.39,6.04,5.77,5.58
16863,Mısır,8.227512,8.16,7.89,7.42,7.12
16864,Mısır unu,54.084976,54.61,52.1,49.19,46.67
16865,Nişasta,20.832973,20.88,19.76,18.97,17.96
16866,Pilav,18.068474,18.03,17.46,16.55,15.78
16867,Pirinç unu,29.732676,29.64,29.01,27.93,26.34
16868,Şehriye,25.531742,25.54,24.77,23.97,22.9
16869,Tarhana,15.542287,15.55,14.9,14.11,13.26
16870,Yulaf unu,49.305237,49.62,48.55,46.18,43.26
16871,yumurta,32.05401,32.2,30.69,29.51,28.54
16872,beyaz peynir,69.507996,68.87,65.46,62.75,59.68
16873,Kaşar peyniri,63.63428,64.1,60.97,58.4,55.6
16874,krema,34.704685,34.64,33.29,31.47,29.71
16875,yoğurt,49.98463,49.69,47.44,45.03,42.6
16876,sucuk,64.08252,63.76,60.82,57.51,55.34
16877,salam,50.24023,50.55,48.28,45.9,43.6
16878,sosis,55.65607,55.81,53.03,50.22,47.56
16879,tam buğday ekmek,16.6787,16.62,15.88,14.95,14.27
16880,kaymak,61.55029,61.97,59.88,56.45,54.15
16881,bal,105.49667,111.67,109.13,103.43,98.18
16882,tereyağ,76.75665,74.03,72.26,68.39,64.94
16883,Armut,15.913315,15.87,15.1,14.33,13.69
16884,Çilek,20.57337,20.35,19.67,18.54,17.64
16885,Elma,25.464914,25.53,24.35,23.62,22.6
16886,Erik türleri,28.45494,28.36,27.27,26.12,25.25
16887,İncir,16.135122,16.06,15.52,14.72,14.13
16888,Karadut,22.03342,21.86,21.08,19.46,18.81
16889,Karpuz,23.806116,23.78,23.01,21.82,20.68
16890,Kavun,30.561602,30.4,29.26,28.0,26.89
16891,Kayısı,16.20126,16.13,15.77,14.92,14.24
16892,Kiraz,23.314177,23.29,22.18,21.17,20.09
16893,Limon,13.002297,12.99,12.5,11.96,11.35
16894,Mandalina,12.86642,12.88,12.29,11.63,10.99
16895,Muz,37.47611,37.45,36.05,33.79,32.0
16896,Nar,32.214245,32.38,30.77,29.22,27.89
16897,Portakal,16.234308,16.22,15.53,14.75,13.9
16898,Şeftali,20.854666,20.81,19.9,18.53,17.58
16899,Üzüm,24.454494,24.47,24.0,23.41,22.18
16900,Vişne,16.550158,16.48,15.94,15.24,14.48
16901,fındık,53.526882,53.29,50.58,48.24,45.72
16902,fıstık,57.10751,57.41,56.11,53.38,50.29
16903,kaju,57.078335,57.13,54.69,52.06,50.59
16904,badem,63.195595,63.19,61.02,57.99,54.82
16905,ceviz,74.16212,73.5,71.03,68.71,65.82
16906,kıyma,140.93576,140.92,135.24,129.54,121.39
16907,tavuk,51.884834,52.3,50.27,47.72,45.96
16908,hindi,51.142002,51.16,49.49,46.73,44.11
16909,Bakla-kuru,29.017014,28.85,27.54,26.24,24.93
16910,Bakla-taze,52.662037,51.98,50.47,47.46,45.03
16911,Bamya,22.147388,22.02,21.35,20.27,19.3
16912,Barbunya-kuru,23.226742,23.23,22.29,21.06,19.97
16913,Bezelye-taze,50.066032,49.97,47.61,45.54,43.25
16914,Biber-yeşil,56.271656,56.14,53.91,50.7,47.27
16915,Brüksel laha.,95.22652,93.41,88.39,84.63,79.92
16916,Domates,16.857553,16.93,15.98,15.44,14.63
16917,Enginar,50.387615,50.7,48.42,46.1,44.06
16918,Fasulye-kuru,37.28582,37.45,36.18,34.33,32.73
16919,Fasulye-taze,37.7151,37.46,36.25,34.59,32.5
16920,Havuç,33.2892,33.21,31.7,30.52,29.39
16921,Salatalık,19.584179,19.63,18.69,17.74,16.72
16922,Ispanak,49.12815,48.78,46.28,44.58,43.05
16923,Kabak,33.746593,33.51,32.52,31.08,29.7
16924,Karnabahar,30.946974,30.85,30.29,28.8,27.41
16925,Kereviz-baş,27.747112,27.68,26.33,25.07,23.6
16926,Kırmızı-pancar,24.304634,24.39,23.28,22.28,20.73
16927,Lahana,27.9452,27.71,26.68,24.99,23.89
16928,Mantar,56.720455,57.37,53.71,51.02,48.91
16929,Marul,23.419239,23.36,22.4,21.53,20.52
16930,Mercimek-kuru,20.73124,20.69,20.08,19.31,18.21
16931,Nohut,19.154781,19.19,18.26,17.25,16.13
16932,Pancar,32.482872,32.56,31.06,29.51,27.8
16933,Patates,12.03176,11.99,11.47,10.71,10.31
16934,Patlıcan,34.62933,34.73,33.41,32.37,31.02
16935,Pazı,8.035908,8.11,7.71,7.3,6.87
16936,Pırasa,12.02906,11.97,11.56,11.17,10.65
16937,Semizotu,11.843148,11.83,11.35,10.8,10.07
16938,Buğday ekmeği,3.1544929,3.17,3.06,2.88,2.75
16939,Bulgur,5.720978,5.75,5.54,5.29,5.02
16940,Erişte,14.350636,14.4,13.77,13.16,12.22
16941,Makarna,6.0843387,6.14,5.8,5.47,5.21
16942,Mısır,8.090192,8.11,7.79,7.53,7.16
16943,Mısır unu,49.402027,49.64,46.86,44.19,42.12
16944,Nişasta,21.268635,21.24,20.36,19.33,18.42
16945,Pilav,16.893553,16.84,16.27,15.33,14.66
16946,Pirinç unu,29.617296,29.53,28.27,26.66,25.31
16947,Şehriye,30.370314,30.5,29.09,27.75,26.68
16948,Tarhana,15.330715,15.22,14.64,13.77,13.19
16949,Yulaf unu,57.699245,57.74,56.09,52.68,50.84
16950,yumurta,37.65498,37.69,35.81,34.56,32.31
16951,beyaz peynir,66.79926,66.59,63.64,60.91,58.58
16952,Kaşar peyniri,70.00925,70.12,67.46,63.49,60.79
16953,krema,37.353172,37.41,35.96,34.42,32.92
16954,yoğurt,49.950024,50.0,48.31,45.25,42.81
16955,sucuk,59.254585,58.85,57.09,54.67,52.15
16956,salam,44.31277,44.64,42.54,40.74,39.29
16957,sosis,53.795944,54.1,52.09,48.5,45.77
16958,tam buğday ekmek,17.269896,17.31,16.48,15.75,15.01
16959,kaymak,53.6084,53.74,51.89,49.06,46.6
16960,bal,108.017044,109.27,104.24,98.72,95.25
16961,tereyağ,67.96569,67.79,65.12,61.44,58.18
16962,Armut,15.615055,15.51,15.01,14.2,13.63
16963,Çilek,23.549713,23.76,22.34,21.22,20.38
16964,Elma,25.760227,25.92,24.62,23.49,22.18
16965,Erik türleri,31.684391,31.59,29.72,28.48,27.36
16966,İncir,16.832123,16.8,16.22,15.47,14.37
16967,Karadut,17.102497,17.12,16.32,15.69,14.87
16968,Karpuz,24.433586,24.26,23.35,21.93,21.02
16969,Kavun,27.700956,27.69,26.83,25.51,23.98
16970,Kayısı,16.791962,16.77,16.08,15.51,14.75
16971,Kiraz,25.147085,25.2,24.01,22.69,21.29
16972,Limon,12.686845,12.72,12.44,11.91,11.18
16973,Mandalina,14.170096,14.1,13.54,12.96,12.28
16974,Muz,32.810528,32.82,31.43,29.73,28.92
16975,Nar,39.064445,38.95,37.66,36.29,34.13
16976,Portakal,15.565642,15.55,14.94,14.15,13.57
16977,Şeftali,21.656382,21.5,20.78,19.56,18.52
16978,Üzüm,20.803791,20.82,19.73,18.76,17.83
16979,Vişne,17.232376,17.21,16.32,15.24,14.36
16980,fındık,64.20694,64.9,62.15,59.07,56.53
16981,fıstık,63.14389,63.34,61.23,59.27,56.54
16982,kaju,70.3069,70.21,66.81,62.68,59.93
16983,badem,65.13227,64.87,61.65,58.7,55.72
16984,ceviz,79.36084,77.27,75.25,71.46,68.86
16985,kıyma,139.05138,147.69,142.14,137.54,128.21
16986,tavuk,46.994366,47.23,45.56,43.15,40.64
16987,hindi,48.01681,48.14,46.55,44.34,42.51
16988,Bakla-kuru,28.927805,29.06,27.76,27.09,25.33
16989,Bakla-taze,62.806393,63.14,61.31,57.79,55.3
16990,Bamya,20.22365,20.17,19.6,18.74,17.85
16991,Barbunya-kuru,25.703167,25.58,24.71,23.07,21.73
16992,Bezelye-taze,52.110577,52.67,49.19,46.23,44.68
16993,Biber-yeşil,51.36802,51.55,49.77,46.8,44.02
16994,Brüksel laha.,102.147415,105.52,99.95,95.16,89.57
16995,Domates,14.912985,14.95,14.22,13.73,13.22
16996,Enginar,42.770794,42.65,41.26,39.64,37.33
16997,Fasulye-kuru,32.477715,32.67,31.2,29.77,28.18
16998,Fasulye-taze,35.297848,35.44,34.0,32.39,30.93
16999,Havuç,35.26176,35.49,33.34,31.93,30.11
17000,Salatalık,18.092821,18.04,17.27,16.45,15.55
17001,Ispanak,43.849552,44.02,42.29,40.48,38.47
17002,Kabak,35.03049,34.66,33.58,31.47,30.17
17003,Karnabahar,33.528145,33.49,32.2,30.7,29.4
17004,Kereviz-baş,24.714367,24.55,23.68,22.26,21.0
17005,Kırmızı-pancar,28.00144,27.9,26.81,25.08,24.11
17006,Lahana,27.421467,27.46,26.51,25.42,24.49
17007,Mantar,56.238277,55.98,53.23,50.66,48.93
17008,Marul,24.89798,25.01,23.82,22.42,21.36
17009,Mercimek-kuru,19.447075,19.42,18.88,18.03,17.39
17010,Nohut,19.818031,19.83,19.16,18.2,17.34
17011,Pancar,32.133583,32.16,30.47,29.27,28.12
17012,Patates,12.624722,12.76,12.03,11.38,10.76
17013,Patlıcan,32.397808,32.24,30.87,29.16,27.67
17014,Pazı,7.9729123,8.08,7.58,7.21,6.81
17015,Pırasa,10.404674,10.45,10.02,9.5,8.91
17016,Semizotu,10.550222,10.58,10.13,9.59,9.03
